Depth sed [m],Age [ka BP],Age [a AD/CE],A. baicalensis [%],A. skvortzowii [%],Synedra spp. [%],C. minuta [%],C. inconspicua [%],S. meyeri [%],TDVA [10**6 #/g],DDI,Reference
0.001,-0.063,2013,33.44,8.85,13.44,27.87,0,0.33,3.5288,0.19,Roberts et al (2018)
0.003,-0.061,2011,33.66,8.82,17.65,26.8,0,0.33,3.1649,0.2,Roberts et al (2018)
0.005,-0.059,2009,34.05,9.26,11.57,30.74,0,0.66,1.789,0.19,Roberts et al (2018)
0.007,-0.056,2006,27.5,13.42,12.11,31.42,0.65,0,1.4893,0.16,Roberts et al (2018)
0.009,-0.053,2003,25.4,10.36,13.59,25.89,0,2.27,2.534,0.21,Roberts et al (2018)
0.011,-0.048,1998,33.77,10.87,6.59,40.53,0,0,2.779,0.22,Roberts et al (2018)
0.0127,-0.044,1994,33.85,11.5,5.75,31.64,4.42,2.88,0.9847,0.63,Mackay et al (1998)
0.013,-0.043,1993,31.68,13.53,6.44,29.04,0.99,1.32,4.1937,0.2,Roberts et al (2018)
0.014,-0.04,1990,36.2,13.29,7.77,26.38,2.86,4.91,2.0257,0.57,Mackay et al (1998)
0.015,-0.037,1987,33.39,12.33,11.13,26.03,1.37,3.08,3.4299,0.17,Roberts et al (2018)
0.0155,-0.036,1986,37.32,11.95,10.9,24.74,3.77,4.61,3.0637,0.57,Mackay et al (1998)
0.017,-0.031,1981,26.92,12.21,12.68,32.55,0,0.94,5.408,0.63,Roberts et al (2018)
0.0187,-0.025,1975,40.6,10.57,9.4,24.16,2.35,6.04,3.8248,0.68,Mackay et al (1998)
0.019,-0.024,1974,25.37,,13.34,38.55,0,2.64,4.9433,,Roberts et al (2018)
0.0205,-0.018,1968,37.4,14.76,6.69,22.44,3.54,7.28,4.6504,0.69,Mackay et al (1998)
0.0222,-0.011,1961,39.78,11.33,5.33,29.11,2,6.89,4.5592,0.58,Mackay et al (1998)
0.0238,-0.004,1954,42.83,11.27,5.94,25.2,1.43,5.53,4.0805,0.66,Mackay et al (1998)
0.0257,0.005,1945,41.56,12.14,3.5,23.87,1.65,10.29,5.4954,0.64,Mackay et al (1998)
0.0273,0.013,1937,30.46,17.44,3.09,33.55,2.65,7.28,4.9668,0.67,Mackay et al (1998)
0.0296,0.026,1924,37.19,8.86,3.85,27.94,3.47,7.71,6.2162,0.57,Mackay et al (1998)
0.0317,0.038,1912,34.2,7.81,3.72,34.39,2.6,7.81,6.8626,0.6,Mackay et al (1998)
0.0335,0.05,1900,35.95,10.46,1.96,31.81,3.05,4.58,6.7102,0.6,Mackay et al (1998)
0.0374,0.076,1874,33.27,7.66,2.43,40.37,3.18,3.74,7.8367,0.66,Mackay et al (1998)
0.0417,0.108,1842,27.73,6.11,2.62,51.09,3.49,1.31,6.0923,0.7,Mackay et al (1998)