Depth water [m],Date/Time,Date/time end,[SO4]2- [mg/l]
0,1967,1968,3.9
10,1967,1968,4.4
25,1967,1968,4.1
50,1967,1968,3.8
100,1967,1968,3.9
200,1967,1968,3.8
300,1967,1968,4.1
400,1967,1968,4.9
500,1967,1968,4.1
600,1967,1968,4.1
700,1967,1968,3.8
800,1967,1968,4
900,1967,1968,3.8
1000,1967,1968,4
1100,1967,1968,3.7
1200,1967,1968,4.2
1300,1967,1968,3.8
0,1981,1982,4.8
10,1981,1982,4.8
25,1981,1982,4.9
50,1981,1982,5.3
100,1981,1982,5.2
200,1981,1982,4.9
300,1981,1982,4.6
400,1981,1982,4.7
500,1981,1982,4.5
1000,1981,1982,4.7
1200,1981,1982,4.8
0,1983,1984,4.6
10,1983,1984,4.7
25,1983,1984,4.8
50,1983,1984,5
100,1983,1984,5.3
200,1983,1984,5
300,1983,1984,4.6
400,1983,1984,4.6
500,1983,1984,4.6
600,1983,1984,4.5
700,1983,1984,4.4
800,1983,1984,4.1
900,1983,1984,4
1000,1983,1984,5
1100,1983,1984,4.3
1200,1983,1984,4.4
0,1986,1987,7.8
10,1986,1987,7.5
25,1986,1987,6.7
50,1986,1987,6.6
100,1986,1987,6.9
200,1986,1987,6.1
300,1986,1987,6.4
400,1986,1987,5.9
500,1986,1987,5.7
600,1986,1987,7.4
700,1986,1987,6.4
800,1986,1987,6.4
900,1986,1987,7.7
1000,1986,1987,6.6
1100,1986,1987,6.4
1200,1986,1987,6.3
1300,1986,1987,6.7
0,2004,2005,4.8
10,2004,2005,4.8
25,2004,2005,6.1
50,2004,2005,5.6
100,2004,2005,6.1
200,2004,2005,6
300,2004,2005,5.7
400,2004,2005,5.8
500,2004,2005,6
600,2004,2005,5
700,2004,2005,5
800,2004,2005,5.5
900,2004,2005,6.2
1000,2004,2005,5.7
1100,2004,2005,5.6
1200,2004,2005,6.9